Nom_du_POI,Categories_de_POI,Latitude,Longitude,Adresse_postale,Code_postal_et_commune,Covid19_mesures_specifiques,Covid19_est_en_activite,Covid19_periodes_d_ouvertures_confirmees,Createur_de_la_donnee,SIT_diffuseur,Date_de_mise_a_jour,Contacts_du_POI,Classements_du_POI,Description,URI_ID_du_POI
MAUSSANE-LES-ALPILLES - Vers les Baux-de-Provence,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Tour|https://www.datatourisme.gouv.fr/ontology/core#WalkingTour|http://purl.org/ontology/olo/core#OrderedList,43.721396999999996,4.809566,Avenue des Alpilles,13520#Paradou,,True,True,Parc Naturel Régional des Alpilles,Provence Tourisme / Parc Naturel Régional des Alpilles,2021-09-20,#+33 4 90 54 33 60<>+33 4 90 90 44 00#tourisme@maussane.com<>contact@parc-alpilles.fr#http://www.maussane.com/<>http://www.parc-alpilles.fr/,,"Entre oliviers et garrigue, une boucle aux paysages exceptionnels, au détour d'un patrimoine bâti riche et étonnant !",https://data.datatourisme.gouv.fr/58/a4b8e9df-3e44-390b-b43d-6f98ba1238c8
Vers les Baux-de-Provence,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Tour|https://www.datatourisme.gouv.fr/ontology/core#WalkingTour|http://purl.org/ontology/olo/core#OrderedList,43.721056,4.80954,Maussane-les-Alpilles,13520#Maussane-les-Alpilles,,True,False,Parc Naturel Régional des Alpilles,Provence Tourisme / Parc Naturel Régional des Alpilles,2017-08-07,###http://www.cheminsdesparcs.fr/pedestre/vers-les-baux-de-provence/,,Moyen,https://data.datatourisme.gouv.fr/58/f2d365d0-8892-361e-a59a-306359d2d6ad
Au fil de l'eau,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Tour|https://www.datatourisme.gouv.fr/ontology/core#WalkingTour|http://purl.org/ontology/olo/core#OrderedList,43.722498,4.8034669999999995,Maussane-les-Alpilles,13520#Maussane-les-Alpilles,,True,False,Parc Naturel Régional des Alpilles,Provence Tourisme / Parc Naturel Régional des Alpilles,2017-08-11,###http://www.cheminsdesparcs.fr/pedestre/au-fil-de-leau/,,Très facile,https://data.datatourisme.gouv.fr/58/9dab82d5-e659-3578-abf4-80cc61633805
Balade au fil du Loup,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#FitnessPath|https://www.datatourisme.gouv.fr/ontology/core#Tour|https://www.datatourisme.gouv.fr/ontology/core#WalkingTour|http://purl.org/ontology/olo/core#OrderedList|http://schema.org/CivicStructure,43.656844,7.121589999999999,Parc naturel départemental des Rives du Loup,06270#Villeneuve-Loubet,,True,True,Office de Tourisme de Villeneuve-Loubet,Apidae Tourisme Scic SA - source : Apidae Tourisme,2021-06-29,#+33 4 92 02 66 16##,,"Avec le Parc des Rives du Loup, il est possible de faire une magnifique balade de l'embouchure du petit fleuve jusqu'à ses berges au village. Un des trésors cachés de notre Côte d'Azur classé Natura 2000 avec sentiers aménagés. Parc urbain. Niveau facile.",https://data.datatourisme.gouv.fr/13/a8b5d837-2608-3c2d-8dc7-e127ea362590
La balade des agrumes,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Tour|https://www.datatourisme.gouv.fr/ontology/core#WalkingTour|https://www.datatourisme.gouv.fr/ontology/core#EducationalTrail|http://purl.org/ontology/olo/core#OrderedList,43.272784,6.521573,679 Route Nationale,83310#Grimaud,,True,True,Office de tourisme de Grimaud,Apidae Tourisme Scic SA - source : Apidae Tourisme,2021-07-07,#+33 4 94 55 43 83#info@grimaud-provence.com#http://bit.ly/CirkwiGrimaud,,Balade hivernale à Grimaud.,https://data.datatourisme.gouv.fr/13/3ceb9b4f-c6b3-3e19-b192-99dc26365c60
Itinéraire vélo de Grimaud à Port Grimaud,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#CyclingTour|https://www.datatourisme.gouv.fr/ontology/core#Tour|http://purl.org/ontology/olo/core#OrderedList,43.272784,6.521573,679 Route Nationale,83310#Grimaud,,True,True,Office de tourisme de Grimaud,Apidae Tourisme Scic SA - source : Apidae Tourisme,2021-08-24,#+33 4 94 55 43 83##http://bit.ly/CirkwiGrimaud,,"De l'arrière pays à la mer, partez du village médiéval de Grimaud, à la découverte de la campagne et du patrimoine de la commune, jusqu'à la cité lacustre de Port Grimaud. Une promenade bucolique, à faire à pieds ou à vélo !",https://data.datatourisme.gouv.fr/13/6638a4c8-9ec3-30d6-9e57-ee060e8f303c
"Sentier ""Grimaud / Port Grimaud""",https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Tour|https://www.datatourisme.gouv.fr/ontology/core#WalkingTour|http://purl.org/ontology/olo/core#OrderedList,43.272784,6.521573,679 Route Nationale,83310#Grimaud,,True,True,Office de tourisme de Grimaud,Apidae Tourisme Scic SA - source : Apidae Tourisme,2021-08-24,#+33 4 94 55 43 83##http://bit.ly/CirkwiGrimaud,,"De l'arrière pays à la mer, partez du village médiéval de Grimaud, à la découverte de la campagne et du patrimoine de la commune, jusqu'à la cité lacustre de Port Grimaud. Une promenade bucolique, à faire à pieds ou à vélo !",https://data.datatourisme.gouv.fr/13/3a8ca1bd-178f-3c7b-b2e6-7b8642b9e1c3
Le refuge des oiseaux du Moulin de Sachas,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Tour|https://www.datatourisme.gouv.fr/ontology/core#WalkingTour|https://www.datatourisme.gouv.fr/ontology/core#EducationalTrail|http://purl.org/ontology/olo/core#OrderedList,44.871057,6.6301630000000005,Impasse de l'Orée du Bois Parking du Centre Montagne,05100#Villar-Saint-Pancrace,,True,True,Office de tourisme des Hautes Vallées - La Grave - La Clarée - L'Izoard,Apidae Tourisme Scic SA - source : Apidae Tourisme,2021-08-18,#+33 6 07 07 31 08#izoard@hautesvallees.com#https://www.izoard-tourisme.fr/,,Le parcours du Refuge des oiseaux du Moulin de Sachas vous permet de découvrir la richesse de la faune qui peuple nos forêts. Le refuge est équipé de panneaux explicatifs mais aussi de nichoirs à oiseaux et à chauve-souris et de nids à insectes.,https://data.datatourisme.gouv.fr/13/8eb22ba6-415c-3ce8-a7bc-7570470c4db9
Promenade Baie des Anges,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Tour|https://www.datatourisme.gouv.fr/ontology/core#WalkingTour|http://purl.org/ontology/olo/core#OrderedList,43.639012,7.141488000000001,Plage du Loup < > Port Marina,06270#Villeneuve-Loubet,,True,True,Office de Tourisme de Villeneuve-Loubet,Apidae Tourisme Scic SA - source : Apidae Tourisme,2021-01-12,#+33 4 92 02 66 16##,,"De l'embouchure du Loup à la croisette de Port Marina Baie des Anges, cette balade côtière est un délice en toute saison. A l'écart de la circulation, l'endroit est idéal pour profiter du panorama du cap de Nice au cap d'Antibes. Circuit facile.",https://data.datatourisme.gouv.fr/13/8aa38a87-7a0e-3ce9-b99c-65992bb7c0b9
Les tours de Castillon,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Tour|https://www.datatourisme.gouv.fr/ontology/core#WalkingTour|http://purl.org/ontology/olo/core#OrderedList,43.706767,4.7895449999999995,Paradou,13520#Paradou,,True,False,Parc Naturel Régional des Alpilles,Provence Tourisme / Parc Naturel Régional des Alpilles,2017-08-07,###http://www.cheminsdesparcs.fr/pedestre/les-tours-de-castillon/,,Très facile,https://data.datatourisme.gouv.fr/58/9e57b7f4-1dc6-3e06-8129-433b1fd876df
Défends de Sousteyran,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Tour|https://www.datatourisme.gouv.fr/ontology/core#WalkingTour|http://purl.org/ontology/olo/core#OrderedList,43.719128999999995,4.782559,Place Jean Jaurès,13520#Fontvieille,,True,True,Parc Naturel Régional des Alpilles,Provence Tourisme / Parc Naturel Régional des Alpilles,2021-01-21,#+33 4 90 92 05 22<>+33 4 90 90 44 00#contact@parc-alpilles.fr<>saintremy@alpillesenprovence.com#http://www.alpillesenprovence.com/<>http://www.parc-alpilles.fr/,,"Promenez-vous au coeur du ""paradis"" qu'offrent les paysages de ce bout des Alpilles !",https://data.datatourisme.gouv.fr/58/ab2ba3dd-c9df-31dc-bb49-703a871125b1
LE-PARADOU - Défends de Sousteyran,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Tour|https://www.datatourisme.gouv.fr/ontology/core#WalkingTour|http://purl.org/ontology/olo/core#OrderedList,43.719128999999995,4.782559,Place Jean Jaurès,13520#Fontvieille,,True,True,Parc Naturel Régional des Alpilles,Provence Tourisme / Parc Naturel Régional des Alpilles,2021-04-19,#+33 4 90 92 05 22<>+33 4 90 90 44 00#contact@parc-alpilles.fr<>saintremy@alpillesenprovence.com#http://www.alpillesenprovence.com/<>http://www.parc-alpilles.fr/,,"Promenez-vous au coeur du ""paradis"" qu'offrent les paysages de ce bout des Alpilles !",https://data.datatourisme.gouv.fr/58/a6478ca6-1e96-3ee8-a0e8-24aca635ffe7
LE-PARADOU - Défends de Sousteyran,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Tour|https://www.datatourisme.gouv.fr/ontology/core#WalkingTour|http://purl.org/ontology/olo/core#OrderedList,43.719128999999995,4.782559,Place Jean Jaurès,13520#Fontvieille,,True,True,Parc Naturel Régional des Alpilles,Provence Tourisme / Parc Naturel Régional des Alpilles,2021-05-04,#+33 4 90 92 05 22<>+33 4 90 90 44 00#contact@parc-alpilles.fr<>saintremy@alpillesenprovence.com#http://www.alpillesenprovence.com/<>http://www.parc-alpilles.fr/,,"Promenez-vous au coeur du ""paradis"" qu'offrent les paysages de ce bout des Alpilles !",https://data.datatourisme.gouv.fr/58/fc76c57f-5b88-3d21-9c09-47a7fd41cb2e
LE-PARADOU - Défends de Sousteyran,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Tour|https://www.datatourisme.gouv.fr/ontology/core#WalkingTour|http://purl.org/ontology/olo/core#OrderedList,43.719128999999995,4.782559,Place Jean Jaurès,13520#Fontvieille,,True,True,Parc Naturel Régional des Alpilles,Provence Tourisme / Parc Naturel Régional des Alpilles,2021-09-20,#+33 4 90 92 05 22<>+33 4 90 90 44 00#contact@parc-alpilles.fr<>saintremy@alpillesenprovence.com#http://www.alpillesenprovence.com/<>http://www.parc-alpilles.fr/,,"Promenez-vous au coeur du ""paradis"" qu'offrent les paysages de ce bout des Alpilles !",https://data.datatourisme.gouv.fr/58/54d952cb-3341-35c4-96ee-44bd4226c647
"Bouches-du-Rhône en Paysages - Saint-Chamas, du port au ""Delà""",https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Tour|https://www.datatourisme.gouv.fr/ontology/core#WalkingTour|http://purl.org/ontology/olo/core#OrderedList,43.549690000000005,5.031537999999999,Place Saint Pierre 17 rue du 4 septembre,13250#Saint-Chamas,,True,True,Provence Tourisme (ADT13),Provence Tourisme (ADT13),2021-04-12,#+33 4 90 50 90 54#accueil@tourismesaintchamas.fr#,,"Parcours pour mieux connaitre Saint-Chamas : l’histoire du village au Musée Municipal Paul Lafran, la richesse de la flore et de la faune du Parc de la Poudrerie, du Parc des Creusets et de la Petite Camargue, sans oublier l’incontournable Pont Flavien.",https://data.datatourisme.gouv.fr/58/b88fb5ca-3c4c-37e2-a107-8e4ec829ccd5
Paysages et milieux naturels du Pic de Gleize,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Tour|https://www.datatourisme.gouv.fr/ontology/core#WalkingTour|https://www.datatourisme.gouv.fr/ontology/core#EducationalTrail|http://purl.org/ontology/olo/core#OrderedList,44.622479999999996,6.047719,Col de Gleize,05000#Gap,,True,True,Agence régionale pour la biodiversité et l'environnement Provence-Alpes-Côte d'Azur (ARBE),Apidae Tourisme Scic SA - source : Apidae Tourisme,2021-05-31,##contact@jardinalp.fr#http://www.jardinalp.fr/?ItinerairesCharance,,"Cette randonnée assez courte permet de découvrir des milieux variés (crêtes, rochers, pelouses...) et riches en flore alpine. A la belle saison, vous pourrez également avoir l'occasion d'observer chamois et marmottes !",https://data.datatourisme.gouv.fr/13/65c9ae77-377e-3ad6-9c65-a004a423bf50
Maison départementale de la Nature des Quatre Frères,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Store|https://www.datatourisme.gouv.fr/ontology/core#Tour|https://www.datatourisme.gouv.fr/ontology/core#WalkingTour|https://www.datatourisme.gouv.fr/ontology/core#ArtGalleryOrExhibitionGallery|https://www.datatourisme.gouv.fr/ontology/core#EducationalTrail|http://purl.org/ontology/olo/core#OrderedList|http://schema.org/LocalBusiness,43.235775,5.814396,"2466, route de Signes à Ollioules Rn8",83330#Le Beausset,,True,True,Maison du Tourisme du Beausset,Apidae Tourisme Scic SA - source : Apidae Tourisme,2021-04-27,#+33 4 94 05 33 90#mdn4freres@var.fr#http://www.var.fr/,,"Située sur la commune du Beausset, la Maison Départementale de la Nature des 4 Frères est une structure gérée par le Conseil Départemental du Var.",https://data.datatourisme.gouv.fr/13/b8986064-38e6-30c1-a9ff-7ab8a62c23c7
Les Parcours ludiques du Grand-Puy,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Tour|https://www.datatourisme.gouv.fr/ontology/core#WalkingTour|https://www.datatourisme.gouv.fr/ontology/core#EducationalTrail|http://purl.org/ontology/olo/core#OrderedList,44.322409,6.393524,Station Le Grand-Puy,04140#Seyne,,True,True,Office de Tourisme Provence Alpes Digne les Bains,Apidae Tourisme Scic SA - source : Apidae Tourisme,2021-09-17,#+33 4 92 35 19 19##https://www.seynelesalpes-tourisme.com/,,2 parcours ludiques pour petits et grands à la découverte de la faune et de la flore locale.,https://data.datatourisme.gouv.fr/13/baae7285-84de-316d-b0b4-52908c223812
Le Dolmen de Gaoutabry,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#CyclingTour|https://www.datatourisme.gouv.fr/ontology/core#Tour|http://purl.org/ontology/olo/core#OrderedList,43.159459999999996,6.220228,Route de Collobrières,83250#La Londe-les-Maures,,True,True,"Office de tourisme intercommunal de Collobrières, Cuers, La Londe les Maures, Pierrefeu","Office de tourisme intercommunal de Collobrières, Cuers, La Londe les Maures, Pierrefeu - source : Apidae Tourisme",2021-07-01,#+33 4 94 01 53 10#bienvenue@mpmtourisme.com#,,Un parcours VTT ou Gravel bike au cœur du Massif des Maures à la découverte du plus grand Dolmen du Var. Profitez des panoramas sur le massif des Maures et Notre Dame des Anges côté collines ainsi que sur les îles d'Or et la presqu'île de Giens côté mer.,https://data.datatourisme.gouv.fr/13/41a8bbb9-c44c-3fd1-b518-01282bd98797
Sentier botanique du Molard,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Tour|https://www.datatourisme.gouv.fr/ontology/core#WalkingTour|https://www.datatourisme.gouv.fr/ontology/core#EducationalTrail|http://purl.org/ontology/olo/core#OrderedList,44.194756,5.941559,1 place de la République,04200#Sisteron,,True,True,Office de Tourisme Sisteron Buëch,Apidae Tourisme Scic SA - source : Apidae Tourisme,2021-02-17,#+33 4 92 61 36 50#sisteron@sisteron-buech.fr#http://www.sisteron-buech.fr/,,"Empruntez le sentier botanique du Molard à la découverte de la faune et de la flore, point de vue sur Sisteron et la montagne de Lure.",https://data.datatourisme.gouv.fr/13/b61632a7-c746-3d4a-913f-6d36ee5c2998
"La route d'histoire, de mots et de pierres",https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Tour|https://www.datatourisme.gouv.fr/ontology/core#RoadTour|http://purl.org/ontology/olo/core#OrderedList,44.194749,5.942893,1 place de la République,04200#Sisteron,,True,True,Office de Tourisme Sisteron Buëch,Apidae Tourisme Scic SA - source : Apidae Tourisme,2021-02-17,#+33 4 92 61 36 50#sisteron@sisteron-buech.fr#http://www.sisteron-buech.fr/,,"Sur la Route d’histoires, de mots et de pierres, pénétrez dans le pays des « rochers qui parlent ».  Au départ de Sisteron et de son imprenable citadelle, empruntez de petites routes et laissez vous glisser de village en village.",https://data.datatourisme.gouv.fr/13/0d851ec7-d71c-3f8c-805e-f522a27f2064
